metric,min,p10,p25,median,p75,p90,max
h_peak_ext,0.07,0.1838,0.3187,0.4541,0.6783,1.0628,2.0059
h_peak_int,0.0044,0.0123,0.0321,0.1179,0.2483,0.5037,1.7
dur_h010cm_min,0.0,0.0,0.0,265.5,1881.75,7842.7,18873.0
dur_h020cm_min,0.0,0.0,0.0,0.0,469.75,4880.6,13961.0
dur_h030cm_min,0.0,0.0,0.0,0.0,0.0,3218.7,11738.0
dur_h040cm_min,0.0,0.0,0.0,0.0,0.0,2049.4,10582.0
dur_h050cm_min,0.0,0.0,0.0,0.0,0.0,245.1,9568.0
dur_h060cm_min,0.0,0.0,0.0,0.0,0.0,0.0,8612.0
dur_h070cm_min,0.0,0.0,0.0,0.0,0.0,0.0,7639.0
dur_h080cm_min,0.0,0.0,0.0,0.0,0.0,0.0,6329.0
dur_h090cm_min,0.0,0.0,0.0,0.0,0.0,0.0,5755.0
dur_h100cm_min,0.0,0.0,0.0,0.0,0.0,0.0,5208.0
dur_h110cm_min,0.0,0.0,0.0,0.0,0.0,0.0,4660.0
dur_h120cm_min,0.0,0.0,0.0,0.0,0.0,0.0,4089.0
dur_h130cm_min,0.0,0.0,0.0,0.0,0.0,0.0,3508.0
dur_h140cm_min,0.0,0.0,0.0,0.0,0.0,0.0,2913.0
dur_h150cm_min,0.0,0.0,0.0,0.0,0.0,0.0,2282.0
