case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
1,depth_001.csv,velocity_001.csv,0.7257,0.7392,761.0,550.0,419.0,320.0,236.0,158.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,depth_002.csv,velocity_002.csv,0.4505,0.4537,524.0,359.0,242.0,128.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,depth_003.csv,velocity_003.csv,0.813,0.8179,19460.0,14567.0,11507.0,9174.0,7211.0,5408.0,3594.0,1233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,depth_004.csv,velocity_004.csv,1.5156,1.2275,66.0,56.0,48.0,42.0,37.0,32.0,27.0,23.0,18.0,14.0,9.0,3.0,0.0,0.0,0.0
5,depth_005.csv,velocity_005.csv,0.419,0.4432,1278.0,858.0,562.0,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,depth_006.csv,velocity_006.csv,0.4189,0.4215,1545.0,1033.0,656.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,depth_007.csv,velocity_007.csv,1.6335,1.6766,170.0,144.0,127.0,114.0,104.0,95.0,88.0,80.0,73.0,66.0,59.0,52.0,45.0,38.0,30.0
8,depth_008.csv,velocity_008.csv,0.887,0.9615,580.0,436.0,347.0,283.0,231.0,184.0,142.0,101.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
9,depth_009.csv,velocity_009.csv,0.3518,0.3626,46.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,depth_010.csv,velocity_010.csv,0.7502,0.7578,855.0,632.0,492.0,385.0,293.0,207.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,depth_011.csv,velocity_011.csv,0.353,0.3699,2100.0,1281.0,669.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,depth_012.csv,velocity_012.csv,0.3515,0.3555,58.0,39.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,depth_013.csv,velocity_013.csv,0.5987,0.6032,706.0,510.0,383.0,279.0,179.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,depth_014.csv,velocity_014.csv,0.119,0.122,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,depth_015.csv,velocity_015.csv,0.137,0.1389,764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,depth_016.csv,velocity_016.csv,0.328,0.3468,644.0,404.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,depth_017.csv,velocity_017.csv,0.234,0.2488,1630.0,627.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,depth_018.csv,velocity_018.csv,0.6328,0.6808,4635.0,3464.0,2707.0,2107.0,1572.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,depth_019.csv,velocity_019.csv,0.253,0.2719,1775.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,depth_020.csv,velocity_020.csv,0.1729,0.1766,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,depth_021.csv,velocity_021.csv,1.5007,1.2641,67.0,57.0,49.0,43.0,38.0,33.0,29.0,24.0,20.0,15.0,10.0,5.0,0.0,0.0,0.0
22,depth_022.csv,velocity_022.csv,0.4214,0.4285,129.0,90.0,61.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,depth_023.csv,velocity_023.csv,0.5193,0.5173,64.0,47.0,33.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,depth_024.csv,velocity_024.csv,0.172,0.1747,9475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,depth_025.csv,velocity_025.csv,0.3319,0.339,3415.0,1976.0,882.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,depth_026.csv,velocity_026.csv,0.543,0.6036,1565.0,1136.0,854.0,622.0,398.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,depth_027.csv,velocity_027.csv,0.211,0.2137,2802.0,548.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
