metric,min,p10,p25,median,p75,p90,max
h_peak_ext,0.07,0.1838,0.3187,0.4541,0.6783,1.0628,2.0059
h_peak_int,0.0719,0.1864,0.3202,0.4528,0.7128,1.0914,2.1794
dur_h010cm_min,0.0,65.8,127.5,486.0,1768.25,8316.4,19460.0
dur_h020cm_min,0.0,0.0,59.5,255.5,1045.75,4864.5,14567.0
dur_h030cm_min,0.0,0.0,20.75,134.0,628.25,3586.7,11704.0
dur_h040cm_min,0.0,0.0,0.0,42.5,283.75,2152.5,10300.0
dur_h050cm_min,0.0,0.0,0.0,0.0,186.75,1585.2,9177.0
dur_h060cm_min,0.0,0.0,0.0,0.0,77.0,591.6,8227.0
dur_h070cm_min,0.0,0.0,0.0,0.0,22.5,187.4,7397.0
dur_h080cm_min,0.0,0.0,0.0,0.0,0.0,134.4,6648.0
dur_h090cm_min,0.0,0.0,0.0,0.0,0.0,97.8,5960.0
dur_h100cm_min,0.0,0.0,0.0,0.0,0.0,27.3,5316.0
dur_h110cm_min,0.0,0.0,0.0,0.0,0.0,0.9,4702.0
dur_h120cm_min,0.0,0.0,0.0,0.0,0.0,0.0,4104.0
dur_h130cm_min,0.0,0.0,0.0,0.0,0.0,0.0,3513.0
dur_h140cm_min,0.0,0.0,0.0,0.0,0.0,0.0,2909.0
dur_h150cm_min,0.0,0.0,0.0,0.0,0.0,0.0,2268.0
