# https://www.sciencedirect.com/science/article/pii/S0141029619343202
# The scenario assumes an 8-hour flood event, with water rising from 0 to its peak in about 3 hours and then receding over the next ~5 hours. 
# This timing is consistent with flash floods or small catchment events in the UK, which often have fast rise times (peak within a few hours) and short overall durations on the order of 6–12 hours
# The hydrograph shape features a steep rising limb followed by a more gradual falling (recession) limb, reflecting how floodwaters climb quickly to a peak and then drain slowly
# Such a shape is in line with observed flood hydrographs (the standard ReFH2 model used in UK flood studies produces similar hydrograph shapes consistent with real events
# The peak water depth is set to 0.80 m above ground level, which lies in the mid-range of typical flood depths (~0.3–1.2 m) seen in UK residential flooding scenarios.
#
# Time (min), h_out (m)
0, 0.00
5, 0.00
10, 0.01
15, 0.02
20, 0.03
25, 0.04
30, 0.05
35, 0.07
40, 0.08
45, 0.09
50, 0.11
55, 0.13
60, 0.15
65, 0.17
70, 0.19
75, 0.22
80, 0.24
85, 0.27
90, 0.29
95, 0.32
100, 0.35
105, 0.38
110, 0.42
115, 0.45
120, 0.48
125, 0.52
130, 0.55
135, 0.59
140, 0.63
145, 0.67
150, 0.71
155, 0.75
160, 0.78
165, 0.79
170, 0.80
175, 0.80
180, 0.80
185, 0.76
190, 0.73
195, 0.69
200, 0.65
205, 0.61
210, 0.58
215, 0.54
220, 0.50
225, 0.46
230, 0.43
235, 0.39
240, 0.36
245, 0.33
250, 0.30
255, 0.27
260, 0.24
265, 0.22
270, 0.19
275, 0.17
280, 0.15
285, 0.13
290, 0.11
295, 0.10
300, 0.08
305, 0.07
310, 0.06
315, 0.05
320, 0.05
325, 0.04
330, 0.04
335, 0.03
340, 0.03
345, 0.03
350, 0.02
355, 0.02
360, 0.02
365, 0.02
370, 0.01
375, 0.01
380, 0.01
385, 0.01
390, 0.01
395, 0.01
400, 0.01
405, 0.01
410, 0.01
415, 0.01
420, 0.09
425, 0.10
430, 0.09
435, 0.08
440, 0.07
445, 0.07
450, 0.07
455, 0.06
460, 0.06
465, 0.06
470, 0.05
475, 0.05
480, 0.00
800, 0.00
