replicate_id,u_membrane:1,h_star_1_membrane:1,peak_h_in_m,peak_h_basement_m,peak_h_sump_m,peak_h_ext_m,total_volume_in_m3
0,0.7739560485559633,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
1,0.4388784397520523,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
2,0.8585979199113825,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
3,0.6973680290593639,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
4,0.09417734788764953,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
5,0.9756223516367559,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
6,0.761139701990353,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
7,0.7860643052769538,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
8,0.12811363267554587,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
9,0.45038593789556713,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
10,0.37079802423258124,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
11,0.9267649888486018,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
12,0.6438651200806645,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
13,0.82276161327083,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
14,0.44341419882733113,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
15,0.2272387217847769,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
16,0.5545847870158348,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
17,0.06381725610417532,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
18,0.8276311719925821,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
19,0.6316643991220648,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
20,0.7580877400853738,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
21,0.35452596812986836,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
22,0.9706980243949033,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
23,0.8931211213221977,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
24,0.7783834970737619,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
25,0.19463870785196757,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
26,0.4667210037270342,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
27,0.04380376578722878,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
28,0.15428949206754783,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
29,0.6830489532424546,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
30,0.7447621559078171,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
31,0.96750973243421,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
32,0.32582535813815194,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
33,0.3704597060348689,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
34,0.4695558112758079,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
35,0.1894713590842857,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
36,0.12992150533547164,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
37,0.47570492622593374,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
38,0.2269093490508841,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
39,0.6698139946825103,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
40,0.43715191887233074,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
41,0.8326781960578374,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
42,0.7002651020022491,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
43,0.31236664138204107,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
44,0.8322598013952011,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
45,0.8047643574968019,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
46,0.38747837903017446,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
47,0.2883281039302441,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
48,0.6824955039749755,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
49,0.1397524836093098,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
50,0.19990820247510832,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
51,0.007362269751005512,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
52,0.7869243775021384,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
53,0.6648508565920321,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
54,0.7051653786263351,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
55,0.7807290310219679,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
56,0.45891577553833995,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
57,0.5687411959528937,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
58,0.13979699812765745,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
59,0.11453007353597344,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
60,0.6684029617904717,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
61,0.4710962061431325,0.6,9.011893629977355e-05,0.0,0.0,0.5,0.004505946814988676
