case_id,depth_file,velocity_file,h_peak_ext,h_peak_int,h_peak_basement,v_peak_ext,dur_h010cm_min,dur_h020cm_min,dur_h030cm_min,dur_h040cm_min,dur_h050cm_min,dur_h060cm_min,dur_h070cm_min,dur_h080cm_min,dur_h090cm_min,dur_h100cm_min,dur_h110cm_min,dur_h120cm_min,dur_h130cm_min,dur_h140cm_min,dur_h150cm_min
1,depth_001.csv,,0.1,0.1028,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,depth_002.csv,,0.15,0.1511,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,depth_003.csv,,0.2,0.2048,0.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,depth_004.csv,,0.25,0.2556,0.0,0.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,depth_005.csv,,0.3,0.3061,0.0,0.0,40.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,depth_006.csv,,0.35,0.3563,0.0,0.0,42.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,depth_007.csv,,0.4,0.4063,0.0,0.0,45.0,30.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,depth_008.csv,,0.45,0.4562,0.0,0.0,46.0,34.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,depth_009.csv,,0.5,0.5057,0.0,0.0,48.0,36.0,24.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,depth_010.csv,,0.55,0.5551,0.0,0.0,49.0,38.0,27.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,depth_011.csv,,0.6,0.6043,0.0,0.0,50.0,40.0,30.0,20.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,depth_012.csv,,0.65,0.6532,0.0,0.0,51.0,41.0,33.0,23.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,depth_013.csv,,0.7,0.7019,0.0,0.0,51.0,43.0,35.0,25.0,17.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,depth_014.csv,,0.75,0.7504,0.0,0.0,52.0,44.0,36.0,28.0,20.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,depth_015.csv,,0.8,0.7987,0.0,0.0,53.0,45.0,37.0,30.0,23.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,depth_016.csv,,0.85,0.8468,0.0,0.0,53.0,46.0,39.0,31.0,25.0,17.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,depth_017.csv,,0.9,0.8946,0.0,0.0,53.0,47.0,40.0,33.0,27.0,20.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,depth_018.csv,,0.95,0.9422,0.0,0.0,54.0,47.0,41.0,35.0,28.0,22.0,16.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
19,depth_019.csv,,1.0,0.9896,0.0,0.0,54.0,48.0,42.0,36.0,30.0,24.0,18.0,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
20,depth_020.csv,,1.05,1.0368,0.0,0.0,54.0,48.0,43.0,37.0,32.0,26.0,20.0,14.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0
