metric,min,p10,p25,median,p75,p90,max
h_peak_ext,0.1,0.195,0.3375,0.575,0.8125,0.955,1.05
h_peak_int,0.1028,0.1994,0.3438,0.5797,0.8107,0.9469,1.0368
h_peak_basement,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur_h010cm_min,2.0,29.0,41.5,49.5,53.0,54.0,54.0
dur_h020cm_min,0.0,0.9,24.5,39.0,45.25,47.1,48.0
dur_h030cm_min,0.0,0.0,6.25,28.5,37.5,41.1,43.0
dur_h040cm_min,0.0,0.0,0.0,18.0,30.25,35.1,37.0
dur_h050cm_min,0.0,0.0,0.0,8.0,23.5,28.2,32.0
dur_h060cm_min,0.0,0.0,0.0,0.5,15.5,22.2,26.0
dur_h070cm_min,0.0,0.0,0.0,0.0,8.0,16.2,20.0
dur_h080cm_min,0.0,0.0,0.0,0.0,0.75,9.3,14.0
dur_h090cm_min,0.0,0.0,0.0,0.0,0.0,3.3,8.0
dur_h100cm_min,0.0,0.0,0.0,0.0,0.0,0.0,3.0
dur_h110cm_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur_h120cm_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur_h130cm_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur_h140cm_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dur_h150cm_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0
