# Synthetic flood depth hydrograph — case 047
# type=short  T_peak=543.8 min  h_peak=0.354 m  alpha=3.169  recession_ratio=3.103
# time (min), depth (m)
0.0,0.0
15.0,0.0001
30.0,0.0007
45.0,0.0024
60.0,0.0055
75.0,0.0102
90.0,0.0167
105.0,0.0249
120.0,0.0348
135.0,0.0464
150.0,0.0593
165.0,0.0735
180.0,0.0887
195.0,0.1048
210.0,0.1214
225.0,0.1385
240.0,0.1557
255.0,0.1729
270.0,0.1898
285.0,0.2065
300.0,0.2226
315.0,0.238
330.0,0.2528
345.0,0.2666
360.0,0.2796
375.0,0.2916
390.0,0.3025
405.0,0.3124
420.0,0.3212
435.0,0.329
450.0,0.3356
465.0,0.3412
480.0,0.3457
495.0,0.3492
510.0,0.3518
525.0,0.3533
540.0,0.354
555.0,0.3433
570.0,0.3295
585.0,0.3163
600.0,0.3036
615.0,0.2914
630.0,0.2798
645.0,0.2685
660.0,0.2578
675.0,0.2474
690.0,0.2375
705.0,0.228
720.0,0.2188
735.0,0.21
750.0,0.2016
765.0,0.1935
780.0,0.1858
795.0,0.1783
810.0,0.1712
825.0,0.1643
840.0,0.1577
855.0,0.1514
870.0,0.1453
885.0,0.1395
900.0,0.1339
915.0,0.1285
930.0,0.1234
945.0,0.1184
960.0,0.1137
975.0,0.1091
990.0,0.1047
1005.0,0.1005
1020.0,0.0965
1035.0,0.0926
1050.0,0.0889
1065.0,0.0853
1080.0,0.0819
1095.0,0.0786
1110.0,0.0755
1125.0,0.0725
1140.0,0.0695
1155.0,0.0668
1170.0,0.0641
1185.0,0.0615
1200.0,0.059
1215.0,0.0567
1230.0,0.0544
1245.0,0.0522
1260.0,0.0501
1275.0,0.0481
1290.0,0.0462
1305.0,0.0443
1320.0,0.0425
1335.0,0.0408
1350.0,0.0392
1365.0,0.0376
1380.0,0.0361
1395.0,0.0347
1410.0,0.0333
1425.0,0.0319
1440.0,0.0307
1455.0,0.0294
1470.0,0.0283
1485.0,0.0271
1500.0,0.026
1515.0,0.025
1530.0,0.024
1545.0,0.023
1560.0,0.0221
1575.0,0.0212
1590.0,0.0204
1605.0,0.0195
1620.0,0.0188
1635.0,0.018
1650.0,0.0173
1665.0,0.0166
1680.0,0.0159
1695.0,0.0153
1710.0,0.0147
1725.0,0.0141
1740.0,0.0135
1755.0,0.013
1770.0,0.0125
1785.0,0.012
1800.0,0.0115
1815.0,0.011
1830.0,0.0106
1845.0,0.0102
1860.0,0.0097
1875.0,0.0094
1890.0,0.009
1905.0,0.0086
1920.0,0.0083
1935.0,0.0079
1950.0,0.0076
1965.0,0.0073
1980.0,0.007
1995.0,0.0067
2010.0,0.0065
2025.0,0.0062
2040.0,0.006
2055.0,0.0057
2070.0,0.0055
2085.0,0.0053
2100.0,0.0051
2115.0,0.0049
2130.0,0.0047
2145.0,0.0045
2160.0,0.0043
2175.0,0.0041
2190.0,0.004
2205.0,0.0038
2220.0,0.0036
2235.0,0.0035
2250.0,0.0034
2265.0,0.0032
2280.0,0.0031
2355.0,0.0
