# Synthetic flood depth hydrograph — case 074
# type=prolonged  T_peak=5407.5 min  h_peak=1.617 m  alpha=1.685  recession_ratio=3.603
# time (min), depth (m)
0.0,0.0
60.0,0.0043
120.0,0.0137
180.0,0.0267
240.0,0.0425
300.0,0.0608
360.0,0.0811
420.0,0.1032
480.0,0.1269
540.0,0.1518
600.0,0.178
660.0,0.2051
720.0,0.2331
780.0,0.2618
840.0,0.2912
900.0,0.321
960.0,0.3512
1020.0,0.3818
1080.0,0.4126
1140.0,0.4436
1200.0,0.4747
1260.0,0.5058
1320.0,0.5369
1380.0,0.568
1440.0,0.5989
1500.0,0.6297
1560.0,0.6602
1620.0,0.6906
1680.0,0.7206
1740.0,0.7503
1800.0,0.7797
1860.0,0.8088
1920.0,0.8374
1980.0,0.8656
2040.0,0.8934
2100.0,0.9208
2160.0,0.9476
2220.0,0.974
2280.0,0.9999
2340.0,1.0253
2400.0,1.0502
2460.0,1.0745
2520.0,1.0983
2580.0,1.1216
2640.0,1.1443
2700.0,1.1664
2760.0,1.188
2820.0,1.209
2880.0,1.2295
2940.0,1.2494
3000.0,1.2687
3060.0,1.2875
3120.0,1.3056
3180.0,1.3233
3240.0,1.3403
3300.0,1.3568
3360.0,1.3727
3420.0,1.3881
3480.0,1.4029
3540.0,1.4171
3600.0,1.4308
3660.0,1.444
3720.0,1.4566
3780.0,1.4687
3840.0,1.4803
3900.0,1.4913
3960.0,1.5018
4020.0,1.5118
4080.0,1.5213
4140.0,1.5303
4200.0,1.5388
4260.0,1.5469
4320.0,1.5544
4380.0,1.5615
4440.0,1.5681
4500.0,1.5743
4560.0,1.58
4620.0,1.5853
4680.0,1.5901
4740.0,1.5945
4800.0,1.5985
4860.0,1.6021
4920.0,1.6053
4980.0,1.608
5040.0,1.6104
5100.0,1.6124
5160.0,1.6141
5220.0,1.6153
5280.0,1.6162
5340.0,1.6168
5400.0,1.617
5460.0,1.5971
5520.0,1.5746
5580.0,1.5524
5640.0,1.5305
5700.0,1.509
5760.0,1.4877
5820.0,1.4668
5880.0,1.4461
5940.0,1.4258
6000.0,1.4057
6060.0,1.3859
6120.0,1.3664
6180.0,1.3471
6240.0,1.3282
6300.0,1.3095
6360.0,1.291
6420.0,1.2728
6480.0,1.2549
6540.0,1.2372
6600.0,1.2198
6660.0,1.2026
6720.0,1.1857
6780.0,1.169
6840.0,1.1526
6900.0,1.1363
6960.0,1.1203
7020.0,1.1045
7080.0,1.089
7140.0,1.0737
7200.0,1.0585
7260.0,1.0436
7320.0,1.0289
7380.0,1.0144
7440.0,1.0002
7500.0,0.9861
7560.0,0.9722
7620.0,0.9585
7680.0,0.945
7740.0,0.9317
7800.0,0.9186
7860.0,0.9056
7920.0,0.8929
7980.0,0.8803
8040.0,0.8679
8100.0,0.8557
8160.0,0.8436
8220.0,0.8318
8280.0,0.8201
8340.0,0.8085
8400.0,0.7971
8460.0,0.7859
8520.0,0.7748
8580.0,0.7639
8640.0,0.7532
8700.0,0.7426
8760.0,0.7321
8820.0,0.7218
8880.0,0.7116
8940.0,0.7016
9000.0,0.6917
9060.0,0.682
9120.0,0.6724
9180.0,0.6629
9240.0,0.6536
9300.0,0.6444
9360.0,0.6353
9420.0,0.6264
9480.0,0.6175
9540.0,0.6088
9600.0,0.6003
9660.0,0.5918
9720.0,0.5835
9780.0,0.5753
9840.0,0.5672
9900.0,0.5592
9960.0,0.5513
10020.0,0.5435
10080.0,0.5359
10140.0,0.5283
10200.0,0.5209
10260.0,0.5136
10320.0,0.5063
10380.0,0.4992
10440.0,0.4922
10500.0,0.4852
10560.0,0.4784
10620.0,0.4717
10680.0,0.465
10740.0,0.4585
10800.0,0.452
10860.0,0.4457
10920.0,0.4394
10980.0,0.4332
11040.0,0.4271
11100.0,0.4211
11160.0,0.4151
11220.0,0.4093
11280.0,0.4035
11340.0,0.3979
11400.0,0.3923
11460.0,0.3867
11520.0,0.3813
11580.0,0.3759
11640.0,0.3706
11700.0,0.3654
11760.0,0.3603
11820.0,0.3552
11880.0,0.3502
11940.0,0.3452
12000.0,0.3404
12060.0,0.3356
12120.0,0.3309
12180.0,0.3262
12240.0,0.3216
12300.0,0.3171
12360.0,0.3126
12420.0,0.3082
12480.0,0.3039
12540.0,0.2996
12600.0,0.2954
12660.0,0.2912
12720.0,0.2871
12780.0,0.2831
12840.0,0.2791
12900.0,0.2752
12960.0,0.2713
13020.0,0.2675
13080.0,0.2637
13140.0,0.26
13200.0,0.2563
13260.0,0.2527
13320.0,0.2492
13380.0,0.2456
13440.0,0.2422
13500.0,0.2388
13560.0,0.2354
13620.0,0.2321
13680.0,0.2288
13740.0,0.2256
13800.0,0.2224
13860.0,0.2193
13920.0,0.2162
13980.0,0.2132
14040.0,0.2102
14100.0,0.2072
14160.0,0.2043
14220.0,0.2014
14280.0,0.1986
14340.0,0.1958
14400.0,0.193
14460.0,0.1903
14520.0,0.1876
14580.0,0.185
14640.0,0.1824
14700.0,0.1798
14760.0,0.1773
14820.0,0.1748
14880.0,0.1723
14940.0,0.1699
15000.0,0.1675
15060.0,0.1651
15120.0,0.1628
15180.0,0.1605
15240.0,0.1583
15300.0,0.156
15360.0,0.1538
15420.0,0.1517
15480.0,0.1495
15540.0,0.1474
15600.0,0.1454
15660.0,0.1433
15720.0,0.1413
15780.0,0.1393
15840.0,0.1373
15900.0,0.1354
15960.0,0.1335
16020.0,0.1316
16080.0,0.1298
16140.0,0.1279
16200.0,0.1261
16260.0,0.1244
16320.0,0.1226
16380.0,0.1209
16440.0,0.1192
16500.0,0.1175
16560.0,0.1158
16620.0,0.1142
16680.0,0.1126
16740.0,0.111
16800.0,0.1095
16860.0,0.1079
16920.0,0.1064
16980.0,0.1049
