# Synthetic flood depth hydrograph — case 098
# type=flash  T_peak=66.1 min  h_peak=0.608 m  alpha=3.297  recession_ratio=1.453
# time (min), depth (m)
0.0,0.0
5.0,0.0026
10.0,0.0197
15.0,0.0585
20.0,0.1176
25.0,0.1913
30.0,0.272
35.0,0.3524
40.0,0.4265
45.0,0.4901
50.0,0.5406
55.0,0.5768
60.0,0.5989
65.0,0.6077
70.0,0.5048
75.0,0.3972
80.0,0.3126
85.0,0.246
90.0,0.1935
95.0,0.1523
100.0,0.1198
105.0,0.0943
110.0,0.0742
115.0,0.0584
120.0,0.0459
125.0,0.0362
130.0,0.0284
135.0,0.0224
140.0,0.0176
145.0,0.0139
150.0,0.0109
155.0,0.0086
160.0,0.0068
165.0,0.0053
170.0,0.0042
175.0,0.0033
200.0,0.0
