# case 0140  h_peak=0.90 m  t_peak=60 min  alpha=2.5  rec_ratio=2.5
# time (min), depth (m), velocity (m/s)
0.0,0.0,0.0
1.0,0.0004,0.02
2.0,0.002,0.0447
3.0,0.0054,0.0735
4.0,0.0107,0.1034
5.0,0.0178,0.1334
6.0,0.027,0.1643
7.0,0.0381,0.1952
8.0,0.051,0.2258
9.0,0.0657,0.2563
10.0,0.082,0.2864
11.0,0.0998,0.3159
12.0,0.119,0.345
13.0,0.1394,0.3734
14.0,0.1609,0.4011
15.0,0.1834,0.4283
16.0,0.2067,0.4546
17.0,0.2307,0.4803
18.0,0.2553,0.5053
19.0,0.2803,0.5294
20.0,0.3057,0.5529
21.0,0.3312,0.5755
22.0,0.3569,0.5974
23.0,0.3826,0.6185
24.0,0.4082,0.6389
25.0,0.4336,0.6585
26.0,0.4587,0.6773
27.0,0.4835,0.6953
28.0,0.5079,0.7127
29.0,0.5319,0.7293
30.0,0.5553,0.7452
31.0,0.5782,0.7604
32.0,0.6004,0.7749
33.0,0.6219,0.7886
34.0,0.6428,0.8017
35.0,0.6629,0.8142
36.0,0.6822,0.826
37.0,0.7008,0.8371
38.0,0.7185,0.8476
39.0,0.7354,0.8576
40.0,0.7515,0.8669
41.0,0.7667,0.8756
42.0,0.7811,0.8838
43.0,0.7946,0.8914
44.0,0.8073,0.8985
45.0,0.8191,0.905
46.0,0.83,0.911
47.0,0.8401,0.9166
48.0,0.8494,0.9216
49.0,0.8578,0.9262
50.0,0.8655,0.9303
51.0,0.8723,0.934
52.0,0.8783,0.9372
53.0,0.8835,0.9399
54.0,0.888,0.9423
55.0,0.8918,0.9444
56.0,0.8948,0.9459
57.0,0.8971,0.9472
58.0,0.8987,0.948
59.0,0.8997,0.9485
60.0,0.9,0.9487
61.0,0.8728,0.9342
62.0,0.8464,0.92
63.0,0.8208,0.906
64.0,0.796,0.8922
65.0,0.7719,0.8786
66.0,0.7486,0.8652
67.0,0.726,0.8521
68.0,0.704,0.839
69.0,0.6827,0.8263
70.0,0.6621,0.8137
71.0,0.6421,0.8013
72.0,0.6226,0.7891
73.0,0.6038,0.777
74.0,0.5856,0.7652
75.0,0.5679,0.7536
76.0,0.5507,0.7421
77.0,0.534,0.7308
78.0,0.5179,0.7197
79.0,0.5022,0.7087
80.0,0.4871,0.6979
81.0,0.4723,0.6872
82.0,0.458,0.6768
83.0,0.4442,0.6665
84.0,0.4308,0.6564
85.0,0.4177,0.6463
86.0,0.4051,0.6365
87.0,0.3929,0.6268
88.0,0.381,0.6173
89.0,0.3695,0.6079
90.0,0.3583,0.5986
91.0,0.3475,0.5895
92.0,0.337,0.5805
93.0,0.3268,0.5717
94.0,0.3169,0.5629
95.0,0.3073,0.5543
96.0,0.298,0.5459
97.0,0.289,0.5376
98.0,0.2803,0.5294
99.0,0.2718,0.5213
100.0,0.2636,0.5134
101.0,0.2556,0.5056
102.0,0.2479,0.4979
103.0,0.2404,0.4903
104.0,0.2331,0.4828
105.0,0.2261,0.4755
106.0,0.2192,0.4682
107.0,0.2126,0.4611
108.0,0.2062,0.4541
109.0,0.1999,0.4471
110.0,0.1939,0.4403
111.0,0.188,0.4336
112.0,0.1824,0.4271
113.0,0.1768,0.4205
114.0,0.1715,0.4141
115.0,0.1663,0.4078
116.0,0.1613,0.4016
117.0,0.1564,0.3955
118.0,0.1517,0.3895
119.0,0.1471,0.3835
120.0,0.1426,0.3776
121.0,0.1383,0.3719
122.0,0.1341,0.3662
123.0,0.1301,0.3607
124.0,0.1262,0.3552
125.0,0.1223,0.3497
126.0,0.1186,0.3444
127.0,0.1151,0.3393
128.0,0.1116,0.3341
129.0,0.1082,0.3289
130.0,0.1049,0.3239
131.0,0.1018,0.3191
132.0,0.0987,0.3142
133.0,0.0957,0.3094
134.0,0.0928,0.3046
135.0,0.09,0.3
136.0,0.0873,0.2955
137.0,0.0846,0.2909
138.0,0.0821,0.2865
139.0,0.0796,0.2821
140.0,0.0772,0.2778
141.0,0.0749,0.2737
142.0,0.0726,0.2694
143.0,0.0704,0.2653
144.0,0.0683,0.2613
145.0,0.0662,0.2573
146.0,0.0642,0.2534
147.0,0.0623,0.2496
148.0,0.0604,0.2458
149.0,0.0586,0.2421
150.0,0.0568,0.2383
151.0,0.0551,0.2347
152.0,0.0534,0.2311
153.0,0.0518,0.2276
154.0,0.0502,0.2241
155.0,0.0487,0.2207
156.0,0.0472,0.2173
157.0,0.0458,0.214
158.0,0.0444,0.2107
159.0,0.0431,0.2076
