case,h_peak,t_peak,alpha,recession_ratio,n_steps
1,0.01,60,1.5,1.5,155
2,0.01,60,1.5,2.5,215
3,0.01,60,1.5,4.0,305
4,0.01,60,2.5,1.5,155
5,0.01,60,2.5,2.5,215
6,0.01,60,2.5,4.0,305
7,0.01,60,4.0,1.5,155
8,0.01,60,4.0,2.5,215
9,0.01,60,4.0,4.0,305
10,0.01,480,1.5,1.5,1205
11,0.01,480,1.5,2.5,1685
12,0.01,480,1.5,4.0,2405
13,0.01,480,2.5,1.5,1205
14,0.01,480,2.5,2.5,1685
15,0.01,480,2.5,4.0,2405
16,0.01,480,4.0,1.5,1205
17,0.01,480,4.0,2.5,1685
18,0.01,480,4.0,4.0,2405
19,0.01,960,1.5,1.5,2405
20,0.01,960,1.5,2.5,3365
21,0.01,960,1.5,4.0,4805
22,0.01,960,2.5,1.5,2405
23,0.01,960,2.5,2.5,3365
24,0.01,960,2.5,4.0,4805
25,0.01,960,4.0,1.5,2405
26,0.01,960,4.0,2.5,3365
27,0.01,960,4.0,4.0,4805
28,0.15,60,1.5,1.5,155
29,0.15,60,1.5,2.5,215
30,0.15,60,1.5,4.0,305
31,0.15,60,2.5,1.5,155
32,0.15,60,2.5,2.5,215
33,0.15,60,2.5,4.0,305
34,0.15,60,4.0,1.5,155
35,0.15,60,4.0,2.5,215
36,0.15,60,4.0,4.0,305
37,0.15,480,1.5,1.5,1205
38,0.15,480,1.5,2.5,1685
39,0.15,480,1.5,4.0,2405
40,0.15,480,2.5,1.5,1205
41,0.15,480,2.5,2.5,1685
42,0.15,480,2.5,4.0,2405
43,0.15,480,4.0,1.5,1205
44,0.15,480,4.0,2.5,1685
45,0.15,480,4.0,4.0,2405
46,0.15,960,1.5,1.5,2405
47,0.15,960,1.5,2.5,3365
48,0.15,960,1.5,4.0,4805
49,0.15,960,2.5,1.5,2405
50,0.15,960,2.5,2.5,3365
51,0.15,960,2.5,4.0,4805
52,0.15,960,4.0,1.5,2405
53,0.15,960,4.0,2.5,3365
54,0.15,960,4.0,4.0,4805
55,0.3,60,1.5,1.5,155
56,0.3,60,1.5,2.5,215
57,0.3,60,1.5,4.0,305
58,0.3,60,2.5,1.5,155
59,0.3,60,2.5,2.5,215
60,0.3,60,2.5,4.0,305
61,0.3,60,4.0,1.5,155
62,0.3,60,4.0,2.5,215
63,0.3,60,4.0,4.0,305
64,0.3,480,1.5,1.5,1205
65,0.3,480,1.5,2.5,1685
66,0.3,480,1.5,4.0,2405
67,0.3,480,2.5,1.5,1205
68,0.3,480,2.5,2.5,1685
69,0.3,480,2.5,4.0,2405
70,0.3,480,4.0,1.5,1205
71,0.3,480,4.0,2.5,1685
72,0.3,480,4.0,4.0,2405
73,0.3,960,1.5,1.5,2405
74,0.3,960,1.5,2.5,3365
75,0.3,960,1.5,4.0,4805
76,0.3,960,2.5,1.5,2405
77,0.3,960,2.5,2.5,3365
78,0.3,960,2.5,4.0,4805
79,0.3,960,4.0,1.5,2405
80,0.3,960,4.0,2.5,3365
81,0.3,960,4.0,4.0,4805
82,0.45,60,1.5,1.5,155
83,0.45,60,1.5,2.5,215
84,0.45,60,1.5,4.0,305
85,0.45,60,2.5,1.5,155
86,0.45,60,2.5,2.5,215
87,0.45,60,2.5,4.0,305
88,0.45,60,4.0,1.5,155
89,0.45,60,4.0,2.5,215
90,0.45,60,4.0,4.0,305
91,0.45,480,1.5,1.5,1205
92,0.45,480,1.5,2.5,1685
93,0.45,480,1.5,4.0,2405
94,0.45,480,2.5,1.5,1205
95,0.45,480,2.5,2.5,1685
96,0.45,480,2.5,4.0,2405
97,0.45,480,4.0,1.5,1205
98,0.45,480,4.0,2.5,1685
99,0.45,480,4.0,4.0,2405
100,0.45,960,1.5,1.5,2405
101,0.45,960,1.5,2.5,3365
102,0.45,960,1.5,4.0,4805
103,0.45,960,2.5,1.5,2405
104,0.45,960,2.5,2.5,3365
105,0.45,960,2.5,4.0,4805
106,0.45,960,4.0,1.5,2405
107,0.45,960,4.0,2.5,3365
108,0.45,960,4.0,4.0,4805
109,0.6,60,1.5,1.5,155
110,0.6,60,1.5,2.5,215
111,0.6,60,1.5,4.0,305
112,0.6,60,2.5,1.5,155
113,0.6,60,2.5,2.5,215
114,0.6,60,2.5,4.0,305
115,0.6,60,4.0,1.5,155
116,0.6,60,4.0,2.5,215
117,0.6,60,4.0,4.0,305
118,0.6,480,1.5,1.5,1205
119,0.6,480,1.5,2.5,1685
120,0.6,480,1.5,4.0,2405
121,0.6,480,2.5,1.5,1205
122,0.6,480,2.5,2.5,1685
123,0.6,480,2.5,4.0,2405
124,0.6,480,4.0,1.5,1205
125,0.6,480,4.0,2.5,1685
126,0.6,480,4.0,4.0,2405
127,0.6,960,1.5,1.5,2405
128,0.6,960,1.5,2.5,3365
129,0.6,960,1.5,4.0,4805
130,0.6,960,2.5,1.5,2405
131,0.6,960,2.5,2.5,3365
132,0.6,960,2.5,4.0,4805
133,0.6,960,4.0,1.5,2405
134,0.6,960,4.0,2.5,3365
135,0.6,960,4.0,4.0,4805
136,0.9,60,1.5,1.5,155
137,0.9,60,1.5,2.5,215
138,0.9,60,1.5,4.0,305
139,0.9,60,2.5,1.5,155
140,0.9,60,2.5,2.5,215
141,0.9,60,2.5,4.0,305
142,0.9,60,4.0,1.5,155
143,0.9,60,4.0,2.5,215
144,0.9,60,4.0,4.0,305
145,0.9,480,1.5,1.5,1205
146,0.9,480,1.5,2.5,1685
147,0.9,480,1.5,4.0,2405
148,0.9,480,2.5,1.5,1205
149,0.9,480,2.5,2.5,1685
150,0.9,480,2.5,4.0,2405
151,0.9,480,4.0,1.5,1205
152,0.9,480,4.0,2.5,1685
153,0.9,480,4.0,4.0,2405
154,0.9,960,1.5,1.5,2405
155,0.9,960,1.5,2.5,3365
156,0.9,960,1.5,4.0,4805
157,0.9,960,2.5,1.5,2405
158,0.9,960,2.5,2.5,3365
159,0.9,960,2.5,4.0,4805
160,0.9,960,4.0,1.5,2405
161,0.9,960,4.0,2.5,3365
162,0.9,960,4.0,4.0,4805
163,1.2,60,1.5,1.5,155
164,1.2,60,1.5,2.5,215
165,1.2,60,1.5,4.0,305
166,1.2,60,2.5,1.5,155
167,1.2,60,2.5,2.5,215
168,1.2,60,2.5,4.0,305
169,1.2,60,4.0,1.5,155
170,1.2,60,4.0,2.5,215
171,1.2,60,4.0,4.0,305
172,1.2,480,1.5,1.5,1205
