# Synthetic flood velocity hydrograph — case 005
# type=short  V_peak=0.734 m/s  lead_ratio=0.087  alpha_v=2.244  recession_ratio_v=3.041
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0011
30.0,0.0048
45.0,0.0113
60.0,0.0206
75.0,0.0324
90.0,0.0467
105.0,0.063
120.0,0.0813
135.0,0.1011
150.0,0.1224
165.0,0.1448
180.0,0.1682
195.0,0.1924
210.0,0.2171
225.0,0.2422
240.0,0.2674
255.0,0.2928
270.0,0.318
285.0,0.3431
300.0,0.3678
315.0,0.3921
330.0,0.4159
345.0,0.4391
360.0,0.4616
375.0,0.4834
390.0,0.5043
405.0,0.5245
420.0,0.5438
435.0,0.5621
450.0,0.5796
465.0,0.5961
480.0,0.6116
495.0,0.6262
510.0,0.6398
525.0,0.6524
540.0,0.664
555.0,0.6747
570.0,0.6845
585.0,0.6933
600.0,0.7011
615.0,0.7081
630.0,0.7142
645.0,0.7194
660.0,0.7238
675.0,0.7274
690.0,0.7301
705.0,0.7321
720.0,0.7334
735.0,0.734
750.0,0.7184
765.0,0.6967
780.0,0.6756
795.0,0.6552
810.0,0.6354
825.0,0.6161
840.0,0.5975
855.0,0.5794
870.0,0.5619
885.0,0.5449
900.0,0.5284
915.0,0.5124
930.0,0.4969
945.0,0.4819
960.0,0.4673
975.0,0.4532
990.0,0.4395
1005.0,0.4262
1020.0,0.4133
1035.0,0.4008
1050.0,0.3887
1065.0,0.3769
1080.0,0.3655
1095.0,0.3545
1110.0,0.3437
1125.0,0.3333
1140.0,0.3233
1155.0,0.3135
1170.0,0.304
1185.0,0.2948
1200.0,0.2859
1215.0,0.2772
1230.0,0.2689
1245.0,0.2607
1260.0,0.2528
1275.0,0.2452
1290.0,0.2378
1305.0,0.2306
1320.0,0.2236
1335.0,0.2168
1350.0,0.2103
1365.0,0.2039
1380.0,0.1977
1395.0,0.1918
1410.0,0.186
1425.0,0.1803
1440.0,0.1749
1455.0,0.1696
1470.0,0.1645
1485.0,0.1595
1500.0,0.1547
1515.0,0.15
1530.0,0.1455
1545.0,0.1411
1560.0,0.1368
1575.0,0.1326
1590.0,0.1286
1605.0,0.1247
1620.0,0.121
1635.0,0.1173
1650.0,0.1138
1665.0,0.1103
1680.0,0.107
1695.0,0.1037
1710.0,0.1006
1725.0,0.0976
1740.0,0.0946
1755.0,0.0918
1770.0,0.089
1785.0,0.0863
1800.0,0.0837
1815.0,0.0811
1830.0,0.0787
1845.0,0.0763
1860.0,0.074
1875.0,0.0718
1890.0,0.0696
1905.0,0.0675
1920.0,0.0654
1935.0,0.0635
1950.0,0.0615
1965.0,0.0597
1980.0,0.0579
1995.0,0.0561
2010.0,0.0544
2025.0,0.0528
2040.0,0.0512
2055.0,0.0496
2070.0,0.0481
2085.0,0.0467
2100.0,0.0453
2115.0,0.0439
2130.0,0.0426
2145.0,0.0413
2160.0,0.04
2175.0,0.0388
2190.0,0.0376
2205.0,0.0365
2220.0,0.0354
2235.0,0.0343
2250.0,0.0333
2265.0,0.0323
2280.0,0.0313
2295.0,0.0304
2310.0,0.0294
2325.0,0.0286
2340.0,0.0277
2355.0,0.0269
2370.0,0.026
2385.0,0.0253
2400.0,0.0245
2415.0,0.0238
2430.0,0.023
2445.0,0.0223
2460.0,0.0217
2475.0,0.021
2490.0,0.0204
2505.0,0.0198
2520.0,0.0192
2535.0,0.0186
2550.0,0.018
2565.0,0.0175
2580.0,0.0169
2595.0,0.0164
2610.0,0.0159
2625.0,0.0154
2640.0,0.015
2655.0,0.0145
2670.0,0.0141
2685.0,0.0137
2700.0,0.0132
2715.0,0.0128
2730.0,0.0125
2745.0,0.0121
2760.0,0.0117
2775.0,0.0114
2790.0,0.011
2805.0,0.0107
2820.0,0.0104
2835.0,0.01
2850.0,0.0097
2865.0,0.0095
2880.0,0.0092
2895.0,0.0089
2910.0,0.0086
2925.0,0.0084
2940.0,0.0081
2955.0,0.0079
3030.0,0.0067
