# Synthetic flood velocity hydrograph — case 007
# type=flash  V_peak=1.293 m/s  lead_ratio=0.106  alpha_v=1.201  recession_ratio_v=1.229
# time (min), velocity (m/s)
0.0,0.0
5.0,0.1191
10.0,0.2568
15.0,0.392
20.0,0.5195
25.0,0.6371
30.0,0.7439
35.0,0.8397
40.0,0.9247
45.0,0.9992
50.0,1.0637
55.0,1.1188
60.0,1.1651
65.0,1.2031
70.0,1.2336
75.0,1.2572
80.0,1.2743
85.0,1.2856
90.0,1.2916
95.0,1.236
100.0,1.0123
105.0,0.8292
110.0,0.6792
115.0,0.5563
120.0,0.4556
125.0,0.3732
130.0,0.3057
135.0,0.2504
140.0,0.2051
145.0,0.168
150.0,0.1376
155.0,0.1127
160.0,0.0923
165.0,0.0756
170.0,0.0619
175.0,0.0507
180.0,0.0415
185.0,0.034
190.0,0.0279
195.0,0.0228
200.0,0.0187
205.0,0.0153
210.0,0.0125
215.0,0.0103
220.0,0.0084
225.0,0.0069
230.0,0.0056
235.0,0.0046
240.0,0.0038
245.0,0.0031
250.0,0.0025
255.0,0.0021
260.0,0.0017
285.0,0.0006
