# Synthetic flood velocity hydrograph — case 065
# type=prolonged  V_peak=0.566 m/s  lead_ratio=0.122  alpha_v=2.072  recession_ratio_v=1.904
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0005
120.0,0.0021
180.0,0.0046
240.0,0.0082
300.0,0.0127
360.0,0.018
420.0,0.0241
480.0,0.031
540.0,0.0386
600.0,0.0468
660.0,0.0555
720.0,0.0648
780.0,0.0745
840.0,0.0847
900.0,0.0952
960.0,0.106
1020.0,0.1171
1080.0,0.1285
1140.0,0.14
1200.0,0.1517
1260.0,0.1636
1320.0,0.1755
1380.0,0.1875
1440.0,0.1996
1500.0,0.2116
1560.0,0.2237
1620.0,0.2357
1680.0,0.2476
1740.0,0.2595
1800.0,0.2712
1860.0,0.2829
1920.0,0.2944
1980.0,0.3057
2040.0,0.3169
2100.0,0.3279
2160.0,0.3387
2220.0,0.3493
2280.0,0.3597
2340.0,0.3699
2400.0,0.3798
2460.0,0.3895
2520.0,0.399
2580.0,0.4082
2640.0,0.4172
2700.0,0.4259
2760.0,0.4343
2820.0,0.4425
2880.0,0.4503
2940.0,0.458
3000.0,0.4653
3060.0,0.4724
3120.0,0.4792
3180.0,0.4857
3240.0,0.492
3300.0,0.498
3360.0,0.5037
3420.0,0.5091
3480.0,0.5143
3540.0,0.5192
3600.0,0.5238
3660.0,0.5282
3720.0,0.5323
3780.0,0.5362
3840.0,0.5398
3900.0,0.5431
3960.0,0.5462
4020.0,0.5491
4080.0,0.5517
4140.0,0.5541
4200.0,0.5563
4260.0,0.5582
4320.0,0.5599
4380.0,0.5614
4440.0,0.5626
4500.0,0.5637
4560.0,0.5646
4620.0,0.5652
4680.0,0.5657
4740.0,0.5659
4800.0,0.5643
4860.0,0.5474
4920.0,0.5311
4980.0,0.5153
5040.0,0.4999
5100.0,0.485
5160.0,0.4705
5220.0,0.4565
5280.0,0.4429
5340.0,0.4297
5400.0,0.4169
5460.0,0.4044
5520.0,0.3924
5580.0,0.3807
5640.0,0.3693
5700.0,0.3583
5760.0,0.3476
5820.0,0.3373
5880.0,0.3272
5940.0,0.3175
6000.0,0.308
6060.0,0.2988
6120.0,0.2899
6180.0,0.2813
6240.0,0.2729
6300.0,0.2647
6360.0,0.2568
6420.0,0.2492
6480.0,0.2417
6540.0,0.2345
6600.0,0.2275
6660.0,0.2208
6720.0,0.2142
6780.0,0.2078
6840.0,0.2016
6900.0,0.1956
6960.0,0.1898
7020.0,0.1841
7080.0,0.1786
7140.0,0.1733
7200.0,0.1681
7260.0,0.1631
7320.0,0.1582
7380.0,0.1535
7440.0,0.1489
7500.0,0.1445
7560.0,0.1402
7620.0,0.136
7680.0,0.132
7740.0,0.128
7800.0,0.1242
7860.0,0.1205
7920.0,0.1169
7980.0,0.1134
8040.0,0.11
8100.0,0.1068
8160.0,0.1036
8220.0,0.1005
8280.0,0.0975
8340.0,0.0946
8400.0,0.0918
8460.0,0.089
8520.0,0.0864
8580.0,0.0838
8640.0,0.0813
8700.0,0.0789
8760.0,0.0765
8820.0,0.0742
8880.0,0.072
8940.0,0.0699
9000.0,0.0678
9060.0,0.0658
9120.0,0.0638
9180.0,0.0619
9240.0,0.0601
9300.0,0.0583
9360.0,0.0565
9420.0,0.0548
9480.0,0.0532
9540.0,0.0516
9600.0,0.0501
9660.0,0.0486
9720.0,0.0471
9780.0,0.0457
9840.0,0.0444
9900.0,0.0431
9960.0,0.0418
10020.0,0.0405
10080.0,0.0393
10140.0,0.0381
10200.0,0.037
10260.0,0.0359
10320.0,0.0348
10380.0,0.0338
10440.0,0.0328
10500.0,0.0318
10560.0,0.0309
10620.0,0.0299
10680.0,0.029
10740.0,0.0282
10800.0,0.0273
10860.0,0.0265
10920.0,0.0257
10980.0,0.025
11040.0,0.0242
11100.0,0.0235
11160.0,0.0228
11220.0,0.0221
11280.0,0.0215
11340.0,0.0208
11400.0,0.0202
11460.0,0.0196
11520.0,0.019
11580.0,0.0184
11640.0,0.0179
11700.0,0.0174
11760.0,0.0168
11820.0,0.0163
11880.0,0.0159
11940.0,0.0154
12000.0,0.0149
12060.0,0.0145
12120.0,0.014
12180.0,0.0136
12240.0,0.0132
12300.0,0.0128
12360.0,0.0124
12420.0,0.0121
12480.0,0.0117
12540.0,0.0114
12600.0,0.011
12660.0,0.0107
12720.0,0.0104
12780.0,0.0101
12840.0,0.0098
12900.0,0.0095
12960.0,0.0092
13020.0,0.0089
13080.0,0.0087
13140.0,0.0084
13200.0,0.0081
13260.0,0.0079
13320.0,0.0077
13380.0,0.0074
13440.0,0.0072
13500.0,0.007
13560.0,0.0068
13620.0,0.0066
13680.0,0.0064
13740.0,0.0062
13800.0,0.006
13860.0,0.0058
13920.0,0.0057
13980.0,0.0055
14040.0,0.0053
14100.0,0.0052
14160.0,0.005
14220.0,0.0049
14280.0,0.0047
14340.0,0.0046
14400.0,0.0044
14460.0,0.0043
14520.0,0.0042
14580.0,0.0041
14640.0,0.0039
14700.0,0.0038
14760.0,0.0037
14820.0,0.0036
14880.0,0.0035
14940.0,0.0034
15000.0,0.0033
15060.0,0.0032
15120.0,0.0031
15180.0,0.003
15240.0,0.0029
15300.0,0.0028
15360.0,0.0027
15420.0,0.0027
15480.0,0.0026
15540.0,0.0025
15600.0,0.0024
15660.0,0.0024
15720.0,0.0023
15780.0,0.0022
15840.0,0.0021
15900.0,0.0021
15960.0,0.002
16020.0,0.002
16080.0,0.0019
16140.0,0.0018
16200.0,0.0018
16260.0,0.0017
16320.0,0.0017
16380.0,0.0016
16440.0,0.0016
16500.0,0.0015
16560.0,0.0015
16620.0,0.0015
16680.0,0.0014
16740.0,0.0014
16800.0,0.0013
16860.0,0.0013
16920.0,0.0012
16980.0,0.0012
17040.0,0.0012
17100.0,0.0011
17160.0,0.0011
17220.0,0.0011
17280.0,0.001
17340.0,0.001
17400.0,0.001
17460.0,0.0009
17520.0,0.0009
17580.0,0.0009
17640.0,0.0009
17700.0,0.0008
17760.0,0.0008
17820.0,0.0008
17880.0,0.0008
17940.0,0.0007
18000.0,0.0007
18060.0,0.0007
18120.0,0.0007
18180.0,0.0007
18240.0,0.0006
18300.0,0.0006
18360.0,0.0006
18420.0,0.0006
18480.0,0.0006
18540.0,0.0006
18840.0,0.0005
