h_o,A_o,DT,final_h_in,max_h_in,n_steps,last_time
0.0,0.003,1.0,0.0,0.6407400899085035,801,48000.0
0.0,0.003,5.0,0.0,0.6475186850923268,161,48000.0
0.0,0.006,1.0,0.0,0.7719874489593397,801,48000.0
0.0,0.006,5.0,0.0,0.783104996090964,161,48000.0
0.0,0.009,1.0,0.0,0.8000817738347265,801,48000.0
0.0,0.009,5.0,0.0,0.8046923309596549,161,48000.0
0.15,0.003,1.0,0.1470121481598454,0.6261843500500772,801,48000.0
0.15,0.003,5.0,0.1421046031214188,0.6345706511563409,161,48000.0
0.15,0.006,1.0,0.14975072896011715,0.7701899896481658,801,48000.0
0.15,0.006,5.0,0.1303450432941114,0.781690753984449,161,48000.0
0.15,0.009,1.0,0.14974799889969528,0.8001092878411213,801,48000.0
0.15,0.009,5.0,0.13098955029078235,0.8046792401238303,161,48000.0
0.3,0.003,1.0,0.2992982062399038,0.5922963285335074,801,48000.0
0.3,0.003,5.0,0.28700982045394186,0.5968727916233202,161,48000.0
0.3,0.006,1.0,0.2987688351503823,0.7567104449029681,801,48000.0
0.3,0.006,5.0,0.2875906630753724,0.7628544619211894,161,48000.0
0.3,0.009,1.0,0.2939994487469307,0.800041093331685,801,48000.0
0.3,0.009,5.0,0.28689763347519665,0.80410937819968,161,48000.0
