# Synthetic flood depth hydrograph — case 060
# type=short  T_peak=291.3 min  h_peak=1.039 m  alpha=2.280  recession_ratio=1.551
# time (min), depth (m)
0.0,0.0
15.0,0.0104
30.0,0.0451
45.0,0.101
60.0,0.1731
75.0,0.2561
90.0,0.345
105.0,0.436
120.0,0.5257
135.0,0.6115
150.0,0.6914
165.0,0.764
180.0,0.8285
195.0,0.8842
210.0,0.931
225.0,0.9689
240.0,0.9981
255.0,1.0191
270.0,1.0324
285.0,1.0384
300.0,0.9507
315.0,0.8159
330.0,0.7002
345.0,0.601
360.0,0.5158
375.0,0.4426
390.0,0.3799
405.0,0.326
420.0,0.2798
435.0,0.2401
450.0,0.2061
465.0,0.1769
480.0,0.1518
495.0,0.1303
510.0,0.1118
525.0,0.0959
540.0,0.0823
555.0,0.0707
570.0,0.0606
585.0,0.052
600.0,0.0447
615.0,0.0383
630.0,0.0329
645.0,0.0282
660.0,0.0242
675.0,0.0208
690.0,0.0178
705.0,0.0153
720.0,0.0131
735.0,0.0113
750.0,0.0097
765.0,0.0083
780.0,0.0071
795.0,0.0061
870.0,0.0
