# Synthetic flood depth hydrograph — case 082
# type=flash  T_peak=58.6 min  h_peak=0.654 m  alpha=1.728  recession_ratio=1.400
# time (min), depth (m)
0.0,0.0
5.0,0.0451
10.0,0.129
15.0,0.2243
20.0,0.3183
25.0,0.4039
30.0,0.4777
35.0,0.5381
40.0,0.5849
45.0,0.6187
50.0,0.6405
55.0,0.6517
60.0,0.606
65.0,0.4578
70.0,0.3458
75.0,0.2612
80.0,0.1973
85.0,0.1491
90.0,0.1126
95.0,0.0851
100.0,0.0643
105.0,0.0485
110.0,0.0367
115.0,0.0277
120.0,0.0209
125.0,0.0158
130.0,0.0119
135.0,0.009
140.0,0.0068
145.0,0.0051
150.0,0.0039
155.0,0.0029
180.0,0.0
