# Synthetic flood depth hydrograph — case 085
# type=prolonged  T_peak=2448.4 min  h_peak=0.273 m  alpha=2.221  recession_ratio=4.775
# time (min), depth (m)
0.0,0.0
60.0,0.0006
120.0,0.0028
180.0,0.0065
240.0,0.0116
300.0,0.0181
360.0,0.0257
420.0,0.0343
480.0,0.0436
540.0,0.0537
600.0,0.0643
660.0,0.0752
720.0,0.0864
780.0,0.0977
840.0,0.1091
900.0,0.1205
960.0,0.1317
1020.0,0.1427
1080.0,0.1534
1140.0,0.1638
1200.0,0.1738
1260.0,0.1835
1320.0,0.1927
1380.0,0.2014
1440.0,0.2096
1500.0,0.2174
1560.0,0.2246
1620.0,0.2313
1680.0,0.2375
1740.0,0.2431
1800.0,0.2482
1860.0,0.2528
1920.0,0.2569
1980.0,0.2605
2040.0,0.2637
2100.0,0.2663
2160.0,0.2685
2220.0,0.2702
2280.0,0.2715
2340.0,0.2724
2400.0,0.2729
2460.0,0.2718
2520.0,0.2654
2580.0,0.2592
2640.0,0.2532
2700.0,0.2472
2760.0,0.2415
2820.0,0.2358
2880.0,0.2303
2940.0,0.2249
3000.0,0.2197
3060.0,0.2146
3120.0,0.2095
3180.0,0.2047
3240.0,0.1999
3300.0,0.1952
3360.0,0.1906
3420.0,0.1862
3480.0,0.1818
3540.0,0.1776
3600.0,0.1734
3660.0,0.1694
3720.0,0.1654
3780.0,0.1616
3840.0,0.1578
3900.0,0.1541
3960.0,0.1505
4020.0,0.147
4080.0,0.1436
4140.0,0.1402
4200.0,0.1369
4260.0,0.1337
4320.0,0.1306
4380.0,0.1276
4440.0,0.1246
4500.0,0.1217
4560.0,0.1188
4620.0,0.1161
4680.0,0.1133
4740.0,0.1107
4800.0,0.1081
4860.0,0.1056
4920.0,0.1031
4980.0,0.1007
5040.0,0.0984
5100.0,0.0961
5160.0,0.0938
5220.0,0.0916
5280.0,0.0895
5340.0,0.0874
5400.0,0.0854
5460.0,0.0834
5520.0,0.0814
5580.0,0.0795
5640.0,0.0777
5700.0,0.0758
5760.0,0.0741
5820.0,0.0723
5880.0,0.0707
5940.0,0.069
6000.0,0.0674
6060.0,0.0658
6120.0,0.0643
6180.0,0.0628
6240.0,0.0613
6300.0,0.0599
6360.0,0.0585
6420.0,0.0571
6480.0,0.0558
6540.0,0.0545
6600.0,0.0532
6660.0,0.052
6720.0,0.0507
6780.0,0.0496
6840.0,0.0484
6900.0,0.0473
6960.0,0.0462
7020.0,0.0451
7080.0,0.044
7140.0,0.043
7200.0,0.042
7260.0,0.041
7320.0,0.0401
7380.0,0.0391
7440.0,0.0382
7500.0,0.0373
7560.0,0.0365
7620.0,0.0356
7680.0,0.0348
7740.0,0.034
7800.0,0.0332
7860.0,0.0324
7920.0,0.0316
7980.0,0.0309
8040.0,0.0302
8100.0,0.0295
8160.0,0.0288
8220.0,0.0281
8280.0,0.0275
8340.0,0.0268
8400.0,0.0262
8460.0,0.0256
8520.0,0.025
8580.0,0.0244
8640.0,0.0238
8700.0,0.0233
8760.0,0.0227
8820.0,0.0222
8880.0,0.0217
8940.0,0.0212
9000.0,0.0207
9060.0,0.0202
9120.0,0.0197
9180.0,0.0193
9240.0,0.0188
9300.0,0.0184
9360.0,0.0179
9420.0,0.0175
9480.0,0.0171
9540.0,0.0167
9600.0,0.0163
9660.0,0.0159
9720.0,0.0156
9780.0,0.0152
9840.0,0.0148
9900.0,0.0145
9960.0,0.0142
10020.0,0.0138
10080.0,0.0135
10140.0,0.0132
10200.0,0.0129
10260.0,0.0126
10320.0,0.0123
10380.0,0.012
10440.0,0.0117
10500.0,0.0114
10560.0,0.0112
10620.0,0.0109
10680.0,0.0107
10740.0,0.0104
10800.0,0.0102
10860.0,0.0099
10920.0,0.0097
10980.0,0.0095
11040.0,0.0093
11100.0,0.009
11160.0,0.0088
11220.0,0.0086
11280.0,0.0084
11340.0,0.0082
11400.0,0.008
11460.0,0.0078
11520.0,0.0077
11580.0,0.0075
11640.0,0.0073
11700.0,0.0071
11760.0,0.007
11820.0,0.0068
11880.0,0.0066
11940.0,0.0065
12000.0,0.0063
12060.0,0.0062
12120.0,0.006
12180.0,0.0059
12240.0,0.0058
12300.0,0.0056
12360.0,0.0055
12420.0,0.0054
12480.0,0.0052
12540.0,0.0051
12600.0,0.005
12660.0,0.0049
12720.0,0.0048
12780.0,0.0047
12840.0,0.0046
12900.0,0.0044
12960.0,0.0043
13020.0,0.0042
13080.0,0.0041
13140.0,0.004
13200.0,0.004
13260.0,0.0039
13320.0,0.0038
13380.0,0.0037
13440.0,0.0036
13500.0,0.0035
13560.0,0.0034
13620.0,0.0034
13680.0,0.0033
13740.0,0.0032
13800.0,0.0031
13860.0,0.003
13920.0,0.003
13980.0,0.0029
14040.0,0.0028
14100.0,0.0028
14160.0,0.0027
14220.0,0.0026
14280.0,0.0026
14340.0,0.0025
14640.0,0.0
