case,flood_type,t_peak,h_peak,alpha,recession_ratio,dt,v_peak,lead_ratio,alpha_v,recession_ratio_v
1,short,350.26,0.726,3.691,3.386,15,0.56,0.079,3.303,3.33
2,short,385.77,0.451,2.903,1.993,15,0.389,0.18,2.119,1.769
3,prolonged,7171.52,0.813,1.727,4.038,60,0.326,0.125,3.022,3.912
4,flash,34.24,1.567,3.99,1.505,5,1.275,0.172,1.226,1.638
5,short,814.11,0.419,2.167,2.574,15,0.734,0.087,2.244,3.041
6,short,1152.81,0.419,2.751,2.027,15,0.286,0.174,1.886,2.139
7,flash,106.43,1.634,3.406,1.322,5,1.293,0.106,1.201,1.229
8,short,248.52,0.889,3.697,3.358,15,1.225,0.012,3.219,3.959
9,flash,35.85,0.352,1.673,1.589,5,0.628,0.026,2.293,1.62
10,short,385.89,0.751,2.558,3.245,15,0.472,0.146,1.663,3.0
11,short,1427.54,0.353,2.595,2.8,15,0.585,0.045,1.978,2.899
12,flash,48.41,0.353,1.677,1.376,5,0.649,0.181,3.177,1.14
13,short,367.63,0.599,2.036,2.838,15,0.324,0.114,2.287,3.161
14,short,1019.92,0.119,1.742,1.881,15,0.266,0.093,2.877,2.011
15,short,1399.72,0.137,2.507,1.697,15,0.191,0.05,1.637,1.662
16,short,511.09,0.328,2.125,2.057,15,0.777,0.172,2.466,1.687
17,short,1438.15,0.234,3.922,3.172,15,0.545,0.033,2.317,2.809
18,prolonged,2745.86,0.633,2.447,2.235,60,1.19,0.157,2.247,2.166
19,short,1333.98,0.253,2.889,3.491,15,0.629,0.059,3.428,3.601
20,flash,92.63,0.173,1.643,1.798,5,0.381,0.171,1.562,2.13
21,flash,35.44,1.501,2.988,1.349,5,1.344,0.024,3.248,1.212
22,flash,103.28,0.422,2.548,1.696,5,0.619,0.187,1.67,1.842
23,flash,49.28,0.526,3.179,1.517,5,0.48,0.15,1.367,1.491
24,prolonged,7182.11,0.172,1.683,5.984,60,0.239,0.187,3.226,6.892
25,prolonged,2610.06,0.332,3.584,2.631,60,0.602,0.197,2.704,2.113
26,short,1037.63,0.543,3.158,2.099,15,1.091,0.023,1.446,2.143
27,prolonged,2232.16,0.211,3.294,4.419,60,0.217,0.053,2.324,5.136
28,flash,174.27,0.663,2.559,1.274,5,0.536,0.154,2.665,1.153
29,prolonged,4747.45,0.319,2.569,4.207,60,0.192,0.177,3.279,4.283
30,flash,170.15,0.402,1.87,1.666,5,0.289,0.18,3.031,1.906
31,flash,194.51,0.318,2.124,1.368,5,0.205,0.177,2.135,1.434
32,short,316.58,2.006,3.662,3.36,15,2.302,0.176,1.257,3.678
33,short,435.21,0.495,3.506,3.362,15,0.85,0.053,3.011,2.835
34,short,1145.22,0.226,2.056,3.217,15,0.575,0.061,3.029,2.867
35,short,250.4,0.927,2.321,1.886,15,1.269,0.056,2.675,1.811
36,short,1392.18,0.2,3.848,2.572,15,0.144,0.036,3.414,2.331
37,prolonged,1714.48,0.585,3.321,3.738,60,0.495,0.102,2.086,3.853
38,short,378.81,0.115,1.504,2.918,15,0.419,0.144,2.906,3.117
39,prolonged,2587.87,0.185,3.161,2.28,60,0.302,0.17,2.855,2.098
40,flash,57.07,0.58,2.506,1.527,5,0.516,0.084,3.363,1.635
41,flash,196.08,0.87,2.252,1.692,5,0.906,0.057,2.189,1.747
42,flash,117.05,0.569,2.605,1.572,5,0.41,0.18,3.031,1.364
43,flash,35.78,0.458,3.082,1.612,5,0.424,0.15,2.747,1.435
44,short,342.9,0.399,2.112,1.549,15,0.477,0.015,2.153,1.629
45,flash,44.95,0.165,2.736,1.757,5,0.202,0.001,2.927,1.947
46,short,290.5,0.291,1.94,2.35,15,0.731,0.01,1.773,2.678
47,short,543.76,0.354,3.169,3.103,15,0.814,0.19,3.25,3.243
48,short,870.79,1.105,3.576,2.51,15,1.023,0.149,2.292,2.268
49,flash,50.17,0.647,3.415,1.71,5,0.716,0.055,1.378,1.564
50,flash,52.78,0.133,2.85,1.456,5,0.181,0.139,2.825,1.202
51,prolonged,2775.0,0.638,2.539,4.17,60,0.433,0.181,2.543,4.497
52,short,1113.98,0.375,2.451,3.031,15,0.187,0.151,3.163,3.581
53,flash,71.7,0.301,2.865,1.798,5,0.585,0.044,2.202,1.459
54,short,438.3,0.791,2.511,2.858,15,0.439,0.026,2.631,2.317
55,flash,68.07,1.083,1.568,1.652,5,1.11,0.092,1.316,1.572
56,flash,46.59,1.005,3.403,1.461,5,0.757,0.166,1.78,1.217
57,short,248.48,0.266,4.0,2.579,15,0.328,0.156,2.699,2.841
58,short,1315.69,0.397,1.551,1.899,15,0.322,0.134,2.497,1.685
59,flash,128.47,0.641,1.919,1.814,5,0.779,0.023,3.084,2.151
60,short,291.29,1.039,2.28,1.551,15,1.143,0.079,2.845,1.288
61,flash,126.13,0.349,1.755,1.702,5,0.616,0.12,1.478,2.031
62,flash,152.73,0.435,2.571,1.478,5,0.47,0.068,3.154,1.668
63,flash,37.36,0.218,3.089,1.969,5,0.51,0.087,2.888,2.335
64,short,389.38,0.204,2.845,3.116,15,0.379,0.146,1.817,3.555
65,prolonged,5483.0,0.92,3.704,2.347,60,0.566,0.122,2.072,1.904
66,flash,176.04,1.383,2.03,1.345,5,1.48,0.176,2.813,1.225
67,short,244.41,0.474,1.714,3.396,15,0.774,0.152,2.788,3.594
68,short,578.29,1.061,1.733,3.086,15,0.587,0.061,2.538,3.053
69,prolonged,3384.24,0.656,3.365,3.702,60,0.539,0.054,1.778,3.14
70,flash,44.78,0.308,2.84,1.296,5,0.711,0.043,2.314,1.412
