# Synthetic flood velocity hydrograph — case 064
# type=short  V_peak=0.379 m/s  lead_ratio=0.146  alpha_v=1.817  recession_ratio_v=3.555
# time (min), velocity (m/s)
0.0,0.0
15.0,0.0082
30.0,0.0266
45.0,0.0511
60.0,0.0791
75.0,0.109
90.0,0.1394
105.0,0.1695
120.0,0.1984
135.0,0.2257
150.0,0.251
165.0,0.2741
180.0,0.2948
195.0,0.3132
210.0,0.3291
225.0,0.3426
240.0,0.3538
255.0,0.3628
270.0,0.3696
285.0,0.3745
300.0,0.3776
315.0,0.3789
330.0,0.3643
345.0,0.3429
360.0,0.3227
375.0,0.3037
390.0,0.2858
405.0,0.269
420.0,0.2532
435.0,0.2383
450.0,0.2242
465.0,0.211
480.0,0.1986
495.0,0.1869
510.0,0.1759
525.0,0.1656
540.0,0.1558
555.0,0.1466
570.0,0.138
585.0,0.1299
600.0,0.1222
615.0,0.115
630.0,0.1083
645.0,0.1019
660.0,0.0959
675.0,0.0902
690.0,0.0849
705.0,0.0799
720.0,0.0752
735.0,0.0708
750.0,0.0666
765.0,0.0627
780.0,0.059
795.0,0.0555
810.0,0.0523
825.0,0.0492
840.0,0.0463
855.0,0.0436
870.0,0.041
885.0,0.0386
900.0,0.0363
915.0,0.0342
930.0,0.0322
945.0,0.0303
960.0,0.0285
975.0,0.0268
990.0,0.0252
1005.0,0.0238
1020.0,0.0224
1035.0,0.021
1050.0,0.0198
1065.0,0.0186
1080.0,0.0175
1095.0,0.0165
1110.0,0.0155
1125.0,0.0146
1140.0,0.0138
1155.0,0.0129
1170.0,0.0122
1185.0,0.0115
1200.0,0.0108
1215.0,0.0102
1230.0,0.0096
1245.0,0.009
1260.0,0.0085
1275.0,0.008
1290.0,0.0075
1305.0,0.0071
1320.0,0.0066
1335.0,0.0063
1350.0,0.0059
1365.0,0.0055
1380.0,0.0052
1395.0,0.0049
1410.0,0.0046
1425.0,0.0043
1440.0,0.0041
1455.0,0.0038
1470.0,0.0036
1485.0,0.0034
1500.0,0.0032
1515.0,0.003
1530.0,0.0028
1545.0,0.0027
1560.0,0.0025
1575.0,0.0024
1590.0,0.0022
1605.0,0.0021
1620.0,0.002
1635.0,0.0019
1650.0,0.0017
1725.0,0.0013
