# Synthetic flood velocity hydrograph — case 084
# type=prolonged  V_peak=0.237 m/s  lead_ratio=0.067  alpha_v=2.741  recession_ratio_v=5.189
# time (min), velocity (m/s)
0.0,0.0
60.0,0.0001
120.0,0.0003
180.0,0.001
240.0,0.0021
300.0,0.0037
360.0,0.0058
420.0,0.0084
480.0,0.0115
540.0,0.0152
600.0,0.0193
660.0,0.0239
720.0,0.0289
780.0,0.0343
840.0,0.0401
900.0,0.0461
960.0,0.0525
1020.0,0.059
1080.0,0.0658
1140.0,0.0727
1200.0,0.0798
1260.0,0.0869
1320.0,0.0941
1380.0,0.1013
1440.0,0.1085
1500.0,0.1156
1560.0,0.1227
1620.0,0.1296
1680.0,0.1365
1740.0,0.1432
1800.0,0.1498
1860.0,0.1561
1920.0,0.1623
1980.0,0.1683
2040.0,0.1741
2100.0,0.1796
2160.0,0.1849
2220.0,0.19
2280.0,0.1948
2340.0,0.1993
2400.0,0.2036
2460.0,0.2076
2520.0,0.2113
2580.0,0.2148
2640.0,0.218
2700.0,0.221
2760.0,0.2237
2820.0,0.2261
2880.0,0.2283
2940.0,0.2302
3000.0,0.2318
3060.0,0.2333
3120.0,0.2344
3180.0,0.2354
3240.0,0.2361
3300.0,0.2366
3360.0,0.2369
3420.0,0.2367
3480.0,0.233
3540.0,0.2294
3600.0,0.2259
3660.0,0.2224
3720.0,0.2189
3780.0,0.2155
3840.0,0.2122
3900.0,0.2089
3960.0,0.2057
4020.0,0.2025
4080.0,0.1994
4140.0,0.1963
4200.0,0.1933
4260.0,0.1903
4320.0,0.1873
4380.0,0.1844
4440.0,0.1816
4500.0,0.1788
4560.0,0.176
4620.0,0.1733
4680.0,0.1706
4740.0,0.1679
4800.0,0.1653
4860.0,0.1628
4920.0,0.1603
4980.0,0.1578
5040.0,0.1553
5100.0,0.1529
5160.0,0.1506
5220.0,0.1482
5280.0,0.146
5340.0,0.1437
5400.0,0.1415
5460.0,0.1393
5520.0,0.1371
5580.0,0.135
5640.0,0.1329
5700.0,0.1309
5760.0,0.1288
5820.0,0.1268
5880.0,0.1249
5940.0,0.1229
6000.0,0.121
6060.0,0.1192
6120.0,0.1173
6180.0,0.1155
6240.0,0.1137
6300.0,0.112
6360.0,0.1102
6420.0,0.1085
6480.0,0.1068
6540.0,0.1052
6600.0,0.1036
6660.0,0.102
6720.0,0.1004
6780.0,0.0988
6840.0,0.0973
6900.0,0.0958
6960.0,0.0943
7020.0,0.0929
7080.0,0.0914
7140.0,0.09
7200.0,0.0886
7260.0,0.0872
7320.0,0.0859
7380.0,0.0846
7440.0,0.0833
7500.0,0.082
7560.0,0.0807
7620.0,0.0795
7680.0,0.0782
7740.0,0.077
7800.0,0.0758
7860.0,0.0746
7920.0,0.0735
7980.0,0.0724
8040.0,0.0712
8100.0,0.0701
8160.0,0.069
8220.0,0.068
8280.0,0.0669
8340.0,0.0659
8400.0,0.0649
8460.0,0.0639
8520.0,0.0629
8580.0,0.0619
8640.0,0.0609
8700.0,0.06
8760.0,0.0591
8820.0,0.0582
8880.0,0.0573
8940.0,0.0564
9000.0,0.0555
9060.0,0.0546
9120.0,0.0538
9180.0,0.053
9240.0,0.0521
9300.0,0.0513
9360.0,0.0505
9420.0,0.0498
9480.0,0.049
9540.0,0.0482
9600.0,0.0475
9660.0,0.0468
9720.0,0.046
9780.0,0.0453
