# Synthetic flood velocity hydrograph — case 098
# type=flash  V_peak=0.872 m/s  lead_ratio=0.007  alpha_v=1.357  recession_ratio_v=1.530
# time (min), velocity (m/s)
0.0,0.0
5.0,0.0948
10.0,0.2186
15.0,0.3411
20.0,0.4537
25.0,0.5529
30.0,0.6374
35.0,0.7073
40.0,0.7632
45.0,0.8061
50.0,0.8372
55.0,0.8577
60.0,0.8689
65.0,0.8537
70.0,0.6761
75.0,0.5355
80.0,0.4241
85.0,0.3359
90.0,0.2661
95.0,0.2107
100.0,0.1669
105.0,0.1322
110.0,0.1047
115.0,0.0829
120.0,0.0657
125.0,0.052
130.0,0.0412
135.0,0.0326
140.0,0.0258
145.0,0.0205
150.0,0.0162
155.0,0.0128
160.0,0.0102
165.0,0.0081
170.0,0.0064
175.0,0.0051
200.0,0.0016
